ProductName|StringID
Dynamics 365 for Field Service Attach to Qualifying Dynamics 365 Base Offer|D365_FIELD_SERVICE_ATTACH
Dynamics 365 for Field Service Enterprise Edition|DYN365_ENTERPRISE_FIELD_SERVICE
Dynamics 365 Field Service Contractor for Government|D365_FIELD_SERVICE_CONTRACTOR_GOV
Dynamics 365 Field Service, Enterprise Edition - Resource Scheduling Optimization|CRM_AUTO_ROUTING_ADDON
Dynamics 365 for Field Service for Government|D365_ENTERPRISE_FIELD_SERVICE_GOV
Dynamics 365 for Field Service Enterprise Edition for Government|DYN365_ENTERPRISE_FIELD_SERVICE_GOV
Dynamics 365 for Financials Business Edition|DYN365_FINANCIALS_BUSINESS_SKU
Dynamics 365 Guides vTrial|Dynamics_365_Guides_vTrial
Dynamics 365 Hybrid Connector|CRM_HYBRIDCONNECTOR
Dynamics 365 for Marketing Additional Application|DYN365_MARKETING_APPLICATION_ADDON
Dynamics 365 for Marketing Additional Contacts Tier 3|DYN365_MARKETING_CONTACT_ADDON_T3
Dynamics 365 for Marketing Additional Non-Prod Application|DYN365_MARKETING_SANDBOX_APPLICATION_ADDON
Dynamics 365 for Marketing Addnl Contacts Tier 5|DYN365_MARKETING_CONTACT_ADDON_T5
Dynamics 365 for Marketing Attach|DYN365_MARKETING_APP_ATTACH
Dynamics 365 for Marketing Business Edition|DYN365_BUSINESS_MARKETING
Dynamics 365 for Marketing USL|D365_MARKETING_USER
Dynamics 365 Operations â€“ Activity|Dyn365_Operations_Activity
Dynamics 365 Project Operations Attach|DYN365_PROJECT_OPERATIONS_ATTACH
Dynamics 365 for Project Service Automation for Government|D365_ENTERPRISE_PROJECT_SERVICE_AUTOMATION_GOV
Dynamics 365 for Project Service Automation Enterprise Edition for Government|DYN365_ENTERPRISE_PROJECT_SERVICE_AUTOMATION_GOV
Dynamics 365 for Sales and Customer Service Enterprise Edition|DYN365_ENTERPRISE_SALES_CUSTOMERSERVICE
Dynamics 365 for Sales Enterprise Edition|DYN365_ENTERPRISE_SALES
Dynamics 365 for Sales, Enterprise Edition for Government|DYN365_ENTERPRISE_SALES_GOV
Dynamics 365 for Sales Enterprise for Government|D365_ENTERPRISE_SALES_GOV
Dynamics 365 Sales, Field Service and Customer Service Partner Sandbox|Dynamics_365_Sales_Field_Service_and_Customer_Service_Partner_Sandbox
Dynamics 365 Sales Premium|DYN365_SALES_PREMIUM
Dynamics 365 for Sales Professional|D365_SALES_PRO
Dynamics 365 for Sales Professional for Government|D365_SALES_PRO_GOV
Dynamics 365 for Sales Professional Trial|D365_SALES_PRO_IW
Dynamics 365 for Sales Professional Attach to Qualifying Dynamics 365 Base Offer|D365_SALES_PRO_ATTACH
Dynamics 365 for Supply Chain Management|DYN365_SCM
Dynamics 365 for Talent|SKU_Dynamics_365_for_HCM_Trial
Dynamics 365 for Team Members Enterprise Edition|DYN365_ENTERPRISE_TEAM_MEMBERS
Dynamics 365 for Team Members Enterprise Edition for Government|DYN365_ENTERPRISE_TEAM_MEMBERS_GOV
Dynamics 365 Guides|GUIDES_USER
Dynamics 365 Operations - Device|Dynamics_365_for_Operations_Devices
Dynamics 365 Operations - Sandbox Tier 2:Standard Acceptance Testing|Dynamics_365_for_Operations_Sandbox_Tier2_SKU
Dynamics 365 Operations - Sandbox Tier 4:Standard Performance Testing|Dynamics_365_for_Operations_Sandbox_Tier4_SKU
Dynamics 365 P1 Trial for Information Workers|DYN365_ENTERPRISE_P1_IW
Dynamics 365 Project Operations|DYN365_PROJECT_OPERATIONS
Dynamics 365 Regulatory Service - Enterprise Edition Trial|DYN365_REGULATORY_SERVICE
Dynamics 365 Remote Assist|MICROSOFT_REMOTE_ASSIST
Dynamics 365 Remote Assist HoloLens|MICROSOFT_REMOTE_ASSIST_HOLOLENS
Dynamics 365 Sales Enterprise Attach to Qualifying Dynamics 365 Base Offer|D365_SALES_ENT_ATTACH
Dynamics 365 Sales Premium Viral Trial|Dynamics_365_Sales_Premium_Viral_Trial
Dynamics 365 for Supply Chain Management Attach to Qualifying Dynamics 365 Base Offer|DYN365_SCM_ATTACH
Dynamics 365 Talent: Attract|Dynamics_365_Hiring_SKU
Dynamics 365 Talent: Onboard|DYNAMICS_365_ONBOARDING_SKU
Dynamics 365 Team Members_wDynamicsRetail|DYN365_TEAM_MEMBERS
Dynamics 365 UNF OPS Plan ENT Edition|Dynamics_365_for_Operations
Enterprise Mobility + Security A3 for Faculty|EMS_EDU_FACULTY
Enterprise Mobility + Security E3|EMS
Enterprise Mobility + Security E5|EMSPREMIUM
Enterprise Mobility + Security E5_USGOV_GCCHIGH|EMSPREMIUM_USGOV_GCCHIGH
Enterprise Mobility + Security G3 GCC|EMS_GOV
Enterprise Mobility + Security G5 GCC|EMSPREMIUM_GOV
Exchange Enterprise CAL Services (EOP, DLP)|EOP_ENTERPRISE_PREMIUM
Exchange Online (Plan 1)|EXCHANGESTANDARD
Exchange Online (Plan 1) for Students|EXCHANGESTANDARD_STUDENT
Exchange Online (Plan 1) for Alumni with Yammer|EXCHANGESTANDARD_ALUMNI
Exchange Online (PLAN 2)|EXCHANGEENTERPRISE
Exchange Online (Plan 2) for Faculty|EXCHANGEENTERPRISE_FACULTY
Exchange Online (Plan 2) for GCC|EXCHANGEENTERPRISE_GOV
Exchange Online Archiving for Exchange Online|EXCHANGEARCHIVE_ADDON
Exchange Online Archiving for Exchange Server|EXCHANGEARCHIVE
Exchange Online Essentials (ExO P1 Based)|EXCHANGEESSENTIALS
Exchange Online Essentials|EXCHANGE_S_ESSENTIALS
Exchange Online Kiosk|EXCHANGEDESKLESS
Exchange Online (Plan 1) for GCC|EXCHANGESTANDARD_GOV
Exchange Online POP|EXCHANGETELCO
Exchange Online Protection|EOP_ENTERPRISE
Intune|INTUNE_A
Intune for Education|INTUNE_EDU
Microsoft Dynamics AX7 User Trial|AX7_USER_TRIAL
Microsoft Azure Multi-Factor Authentication|MFA_STANDALONE
Microsoft Defender for Office 365 (Plan 2)|THREAT_INTELLIGENCE
Microsoft 365 A1|M365EDU_A1
Microsoft 365 A3 for faculty|M365EDU_A3_FACULTY
Microsoft 365 A3 for students|M365EDU_A3_STUDENT
Microsoft 365 A3 student use benefits|M365EDU_A3_STUUSEBNFT
Microsoft 365 A3 Suite features for faculty|Microsoft_365_A3_Suite_features_for_faculty
Microsoft 365 A3 - Unattended License for students use benefit|M365EDU_A3_STUUSEBNFT_RPA1
Microsoft 365 A5 for Faculty|M365EDU_A5_FACULTY
Microsoft 365 A5 for students|M365EDU_A5_STUDENT
Microsoft 365 A5 student use benefits|M365EDU_A5_STUUSEBNFT
Microsoft 365 A5 Suite features for faculty|M365_A5_SUITE_COMPONENTS_FACULTY
Microsoft 365 A5 without Audio Conferencing for students use benefit|M365EDU_A5_NOPSTNCONF_STUUSEBNFT
Microsoft 365 Apps for Business|O365_BUSINESS
Microsoft 365 Apps for Business|SMB_BUSINESS
Microsoft 365 Apps for enterprise|OFFICESUBSCRIPTION
Microsoft 365 Apps for enterprise (device)|OFFICE_PROPLUS_DEVICE1
Microsoft 365 Apps for Faculty|OFFICESUBSCRIPTION_FACULTY
Microsoft 365 Apps for Students|OFFICESUBSCRIPTION_STUDENT
Microsoft 365 Audio Conferencing for GCC|MCOMEETADV_GOV
Microsoft 365 Audio Conferencing - GCCHigh Tenant (AR)_USGOV_GCCHIGH|MCOACBYOT_AR_GCCHIGH_USGOV_GCCHIGH
Microsoft 365 Audio Conferencing_USGOV_GCCHIGH|MCOMEETADV_USGOV_GCCHIGH
Microsoft 365 Audio Conferencing Pay-Per-Minute - EA|MCOMEETACPEA
Microsoft 365 Business Basic|O365_BUSINESS_ESSENTIALS
Microsoft 365 Business Basic|SMB_BUSINESS_ESSENTIALS
Microsoft 365 Business Basic EEA (no Teams)|Microsoft_365_Business_Basic_EEA_(no_Teams)
Microsoft 365 Business Standard|O365_BUSINESS_PREMIUM
Microsoft 365 Business Standard EEA (no Teams)|Microsoft_365_Business_Standard_EEA_(no_Teams)
Microsoft 365 Business Standard EEA (no Teams)|Office_365_w/o_Teams_Bundle_Business_Standard
Microsoft 365 Business Standard - Prepaid Legacy|SMB_BUSINESS_PREMIUM
Microsoft 365 Business Premium|SPB
Microsoft 365 Business Premium EEA (no Teams)|Office_365_w/o_Teams_Bundle_Business_Premium
Microsoft 365 Business Voice (US)|BUSINESS_VOICE_MED2_TELCO
Microsoft 365 Business Voice (without Calling Plan)|BUSINESS_VOICE_DIRECTROUTING
Microsoft 365 Business Voice|BUSINESS_VOICE_MED2
Microsoft 365 Business Voice (UK)|BUSINESS_VOICE
Microsoft 365 Domestic Calling Plan (120 minutes) â€“ US|MCOPSTN5_US
Microsoft 365 Domestic Calling Plan for GCC|MCOPSTN_1_GOV
Microsoft 365 E3|SPE_E3
Microsoft 365 E3 EEA (no Teams)|O365_w/o Teams Bundle_M3
Microsoft 365 E3 EEA (no Teams) - Unattended License|Microsoft_365_E3_EEA_(no_Teams)_Unattended_License
Microsoft 365 E3 EEA (no Teams) (500 seats min)_HUB|O365_w/o Teams Bundle_M3_(500_seats_min)_HUB
Microsoft 365 E3 Extra Features|Microsoft_365_E3_Extra_Features
Microsoft 365 E3 - Unattended License|SPE_E3_RPA1
Microsoft 365 E3 (500 seats min)_HUB|Microsoft_365_E3
Microsoft 365 E3_USGOV_DOD|SPE_E3_USGOV_DOD
Microsoft 365 E3_USGOV_GCCHIGH|SPE_E3_USGOV_GCCHIGH
Microsoft 365 E5|SPE_E5
Microsoft 365 E5 (500 seats min)_HUB|Microsoft_365_E5
Microsoft 365 E5 Developer (without Windows and Audio Conferencing)|DEVELOPERPACK_E5
Microsoft 365 E5 Compliance|INFORMATION_PROTECTION_COMPLIANCE
Microsoft 365 E5 EEA (no Teams)|O365_w/o_Teams_Bundle_M5
Microsoft 365 E5 EEA (no Teams) (500 seats min)_HUB|O365_w/o_Teams_Bundle_M5_(500_seats_min)_HUB
Microsoft 365 E5 EEA (no Teams) with Calling Minutes|Microsoft_365_E5_EEA_(no_Teams)_with_Calling_Minutes
Microsoft 365 E5 EEA (no Teams) without Audio Conferencing|Microsoft_365_E5_EEA_(no_Teams)_without_Audio_Conferencing
Microsoft 365 E5 EEA (no Teams) without Audio Conferencing (500 seats min)_HUB|Microsoft_365_E5_EEA_(no_Teams)without_Audio_Conferencing(500_seats_min)_HUB
Microsoft 365 E5 Security|IDENTITY_THREAT_PROTECTION
Microsoft 365 E5 Security for EMS E5|IDENTITY_THREAT_PROTECTION_FOR_EMS_E5
Microsoft 365 E5 with Calling Minutes|SPE_E5_CALLINGMINUTES
Microsoft 365 E5 without Audio Conferencing|SPE_E5_NOPSTNCONF
Microsoft 365 E5 without Audio Conferencing (500 seats min)_HUB|Microsoft_365_E5_without_Audio_Conferencing
Microsoft 365 F1|M365_F1
Microsoft 365 F1 EEA (no Teams)|Microsoft_365_F1_EEA_(no_Teams)
Microsoft 365 F3|SPE_F1
Microsoft 365 F3 EEA (no Teams)|Microsoft_365_F3_EEA_(no_Teams)
Microsoft 365 F5 Compliance Add-on|SPE_F5_COMP
Microsoft 365 F5 Compliance Add-on AR DOD_USGOV_DOD|SPE_F5_COMP_AR_D_USGOV_DOD
Microsoft 365 F5 Compliance Add-on AR_USGOV_GCCHIGH|SPE_F5_COMP_AR_USGOV_GCCHIGH
Microsoft 365 F5 Compliance Add-on GCC|SPE_F5_COMP_GCC
Microsoft 365 F5 Security Add-on|SPE_F5_SEC
Microsoft 365 F5 Security + Compliance Add-on|SPE_F5_SECCOMP
Microsoft Power Automate Free|FLOW_FREE
Microsoft 365 E5 Extra Features|M365_E5_SUITE_COMPONENTS
Microsoft 365 F1|M365_F1_COMM
Microsoft 365 E5_USGOV_GCCHIGH|SPE_E5_USGOV_GCCHIGH
Microsoft 365 F3 GCC|M365_F1_GOV
Microsoft 365 G3 GCC|M365_G3_GOV
Microsoft 365 G3 - Unattended License for GCC|M365_G3_RPA1_GOV
Microsoft 365 GCC G5|M365_G5_GCC
Microsoft 365 GCC G5 w/o WDATP/CAS Unified|M365_G5_GOV
Microsoft 365 Lighthouse|Microsoft365_Lighthouse
Microsoft 365 Security and Compliance for Firstline Workers|M365_SECURITY_COMPLIANCE_FOR_FLW
Microsoft Business Center|MICROSOFT_BUSINESS_CENTER
Microsoft Cloud for Sustainability vTrial|Microsoft_Cloud_for_Sustainability_vTrial
Microsoft Cloud App Security|ADALLOM_STANDALONE
Microsoft Defender for Endpoint|WIN_DEF_ATP
Microsoft Defender for Endpoint F2|Microsoft_Defender_for_Endpoint_F2
Microsoft Defender for Endpoint P1|DEFENDER_ENDPOINT_P1
Microsoft Defender for Endpoint P1 for EDU|DEFENDER_ENDPOINT_P1_EDU
Microsoft Defender for Endpoint P2_XPLAT|MDATP_XPLAT
Microsoft Defender for Endpoint Server|MDATP_Server
Microsoft Defender for Office 365 (Plan 1) Faculty|ATP_ENTERPRISE_FACULTY
Microsoft Dynamics CRM Online Basic|CRMPLAN2
Microsoft Defender for Identity|ATA
Microsoft Defender for Office 365 (Plan 1) GCC|ATP_ENTERPRISE_GOV
Microsoft Defender for Office 365 (Plan 1)_USGOV_GCCHIGH|ATP_ENTERPRISE_USGOV_GCCHIGH
Microsoft Defender for Office 365 (Plan 2) GCC|THREAT_INTELLIGENCE_GOV
Microsoft Defender Vulnerability Management|TVM_Premium_Standalone
Microsoft Defender Vulnerability Management Add-on|TVM_Premium_Add_on
Microsoft Dynamics CRM Online|CRMSTANDARD
Microsoft Dynamics CRM Online Basic for Government|CRMPLAN2_GCC
Microsoft Dynamics CRM Online for Government|CRMSTANDARD_GCC
Microsoft Entra ID Governance|Microsoft_Entra_ID_Governance
Microsoft Fabric (Free)|POWER_BI_STANDARD
Microsoft Fabric (Free) for faculty|POWER_BI_STANDARD_FACULTY
Microsoft Fabric (Free) for student|POWER_BI_STANDARD_STUDENT
Microsoft Imagine Academy|IT_ACADEMY_AD
Microsoft Intune Device|INTUNE_A_D
Microsoft Intune Device for Government|INTUNE_A_D_GOV
Microsoft Intune Government|INTUNE_A_GOV
Microsoft Intune Plan 1 A VL_USGOV_GCCHIGH|INTUNE_A_VL_USGOV_GCCHIGH
Microsoft Intune Suite|Microsoft_Intune_Suite
Microsoft Power Apps Plan 2 Trial|POWERAPPS_VIRAL
Microsoft Power Automate Plan 2|FLOW_P2
Microsoft Intune SMB|INTUNE_SMB
Microsoft PowerApps for Developer|POWERAPPS_DEV
Microsoft Power Apps Plan 2 (Qualified Offer)|POWERFLOW_P2
Microsoft Relationship Sales solution|DYN365_ENTERPRISE_RELATIONSHIP_SALES
Microsoft Stream|STREAM
Microsoft Stream Plan 2|STREAM_P2
Microsoft Stream Storage Add-On (500 GB)|STREAM_STORAGE
Microsoft Sustainability Manager USL Essentials|Microsoft_Cloud_for_Sustainability_USL
Microsoft Teams Audio Conferencing with dial-out to USA/CAN|Microsoft_Teams_Audio_Conferencing_select_dial_out
Microsoft Teams (Free)|TEAMS_FREE
